sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,504,NoRes = 1 AND NoReplayGain = 1 AND Downmix = 1,NoReplayGain >= 1.0  AND  0.0 <= VBRRange < 1.0  AND  NoRes >= 1.0  AND  Downmix >= 1.0,0.0,0.9161290322580644,1.0,0.8452380952380952,0
uniform,695,ReplayGainAccurate = 1 AND CBR = 8 AND VBRRange = 0,ReplayGainAccurate >= 1.0  AND  0.0 <= VBRRange < 1.0  AND  8.0 <= CBR < 160.0  AND  0.0 <= Mono < 1.0,1.0,0.9373088685015292,1.0,0.8820143884892087,0
bi_modal_split,741,SwapBytes = 1 AND ReplayGainAccurate = 1 AND VBRRange = 0,Freeformat >= 1.0  AND  ReplayGainAccurate >= 1.0  AND  SwapBytes >= 1.0  AND  Downmix >= 1.0,4.0,0.7680798004987531,1.0,0.6234817813765182,0
tri_modal_split,540,Downmix = 1 AND CRC = 1 AND Resampling = 8,Downmix >= 1.0  AND  Resampling < 22.0  AND  0.0 <= VBRRange < 1.0  AND  CRC >= 1.0,2.0,0.9338598223099704,1.0,0.8759259259259259,0
power_law,623,SwapBytes = 1 AND Resampling = 22 AND VBRRange = 0,SwapBytes >= 1.0  AND  22.0 <= Resampling < 44.0  AND  0.0 <= DualChannels < 1.0  AND  0.0 <= VBRRange < 1.0,1.0,0.8953900709219859,1.0,0.8105939004815409,0
normal,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoRes >= 1.0  AND  CRC >= 1.0  AND  NoReplayGain >= 1.0,0.0,1.0,1.0,1.0,10
uniform,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoRes >= 1.0  AND  NoReplayGain >= 1.0  AND  0.0 <= DualChannels < 1.0  AND  CRC >= 1.0,1.0,0.9446721311475408,1.0,0.8951456310679612,10
bi_modal_split,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoReplayGain >= 1.0  AND  CRC >= 1.0  AND  0.0 <= Mono < 1.0  AND  NoRes >= 1.0,1.0,0.920335429769392,1.0,0.8524271844660194,10
tri_modal_split,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoRes >= 1.0  AND  NoReplayGain >= 1.0  AND  CRC >= 1.0,1.0,1.0,1.0,1.0,10
power_law,515,NoRes = 1 AND NoReplayGain = 1 AND CRC = 1,NoRes >= 1.0  AND  NoReplayGain >= 1.0  AND  CRC >= 1.0,2.0,1.0,1.0,1.0,10
normal,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,JointStereo >= 1.0  AND  SwapBytes >= 1.0  AND  CRC >= 1.0,0.0,1.0,1.0,1.0,11
uniform,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,CRC >= 1.0  AND  JointStereo >= 1.0  AND  SwapBytes >= 1.0,1.0,1.0,1.0,1.0,11
bi_modal_split,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,Downmix >= 1.0  AND  JointStereo >= 1.0  AND  CRC >= 1.0  AND  SwapBytes >= 1.0,1.0,0.950517836593786,1.0,0.9057017543859648,11
tri_modal_split,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,CRC >= 1.0  AND  JointStereo >= 1.0  AND  SwapBytes >= 1.0,1.0,1.0,1.0,1.0,11
power_law,456,CRC = 1 AND JointStereo = 1 AND SwapBytes = 1,CRC >= 1.0  AND  JointStereo >= 0.5  AND  8.0 <= CBR < 320.0  AND  SwapBytes >= 1.0,2.0,0.8109517601043025,1.0,0.6820175438596491,11
normal,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,Downmix >= 1.0  AND  JointStereo >= 1.0  AND  NoRes >= 1.0,0.0,1.0,1.0,1.0,12
uniform,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,Downmix >= 1.0  AND  JointStereo >= 0.5  AND  NoRes >= 1.0,1.0,1.0,1.0,1.0,12
bi_modal_split,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,Downmix >= 1.0  AND  JointStereo >= 1.0  AND  0.0 <= VBRRange < 1.0  AND  NoRes >= 1.0,0.0,0.960648148148148,1.0,0.9242761692650334,12
tri_modal_split,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,Downmix >= 1.0  AND  JointStereo >= 0.5  AND  NoRes >= 1.0,0.0,1.0,1.0,1.0,12
power_law,449,NoRes = 1 AND Downmix = 1 AND JointStereo = 1,CRC >= 1.0  AND  JointStereo >= 0.5  AND  NoRes >= 1.0  AND  Downmix >= 1.0,1.0,0.9666283084004604,1.0,0.935412026726058,12
normal,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,Freeformat >= 1.0  AND  CBR >= 320.0  AND  CRC >= 1.0  AND  0.0 <= ReplayGainFast < 1.0,0.0,0.8617886178861789,1.0,0.7571428571428571,13
uniform,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,Freeformat >= 1.0  AND  CBR >= 320.0  AND  22.0 <= Resampling < 48.0  AND  CRC >= 1.0,2.0,0.6206896551724138,1.0,0.45,13
bi_modal_split,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,Freeformat >= 1.0  AND  CBR >= 320.0  AND  CRC >= 1.0,0.0,1.0,1.0,1.0,13
tri_modal_split,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,Freeformat >= 1.0  AND  CBR >= 320.0  AND  CRC >= 1.0  AND  0.0 <= Mono < 1.0,1.0,0.9244558258642764,1.0,0.8595238095238096,13
power_law,420,Freeformat = 1 AND CRC = 1 AND CBR = 320,CRC >= 1.0  AND  CBR >= 320.0  AND  0.0 <= MidSideStereo < 1.0  AND  0.0 <= NoReplayGain < 1.0,1.0,0.7248520710059172,0.95703125,0.5833333333333334,13
normal,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoRes >= 1.0  AND  NoReplayGain >= 1.0  AND  Downmix >= 1.0  AND  SwapBytes >= 1.0,0.0,0.9174503657262276,1.0,0.8474903474903475,14
uniform,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoReplayGain >= 1.0  AND  SwapBytes >= 1.0  AND  0.0 <= DualChannels < 1.0  AND  NoRes >= 1.0,1.0,0.9417773237997956,1.0,0.88996138996139,14
bi_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoReplayGain >= 1.0  AND  SwapBytes >= 1.0  AND  NoRes >= 1.0,2.0,1.0,1.0,1.0,14
tri_modal_split,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoReplayGain >= 1.0  AND  0.0 <= VBRRange < 1.0  AND  SwapBytes >= 1.0  AND  NoRes >= 1.0,0.0,0.912906610703043,1.0,0.8397683397683398,14
power_law,518,NoRes = 1 AND NoReplayGain = 1 AND SwapBytes = 1,NoReplayGain >= 1.0  AND  SwapBytes >= 1.0  AND  8.0 <= CBR < 160.0  AND  NoRes >= 1.0,1.0,0.7897196261682243,1.0,0.6525096525096525,14
normal,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,22.0 <= Resampling < 44.0  AND  8.0 <= CBR < 160.0  AND  0.0 <= Mono < 1.0  AND  0.0 <= VBRRange < 1.0,0.0,0.926672038678485,1.0,0.8633633633633634,15
uniform,666,Resampling = 22 AND CBR = 8 AND VBRRange = 0,22.0 <= Resampling < 44.0  AND  0.0 <= VBRRange < 1.0  AND  8.0 <= CBR < 160.0  AND  0.0 <= Freeformat < 1.0,2.0,0.9179528838342812,1.0,0.8483483483483484,15
